Region	City	County	State	Zip Code	Site Name
2	SPRINGFIELD TWP(JOBSTOWN)	BURLINGTON	New Jersey	8041	KAUFFMAN & MINTEER, INC.
2	EDISON TOWNSHIP	MIDDLESEX	New Jersey	8817	KIN-BUC LANDFILL
2	WINSLOW TOWNSHIP	CAMDEN	New Jersey	8095	KING OF PRUSSIA
2	HILLSBOROUGH TOWNSHIP	SOMERSET	New Jersey	8853	KRYSOWATY FARM
2	MOUNT HOLLY	BURLINGTON	New Jersey	8060	LANDFILL & DEVELOPMENT CO.
2	PEMBERTON TOWNSHIP	BURLINGTON	New Jersey	8015	LANG PROPERTY
2	LINDEN	UNION	New Jersey	7036	LCP CHEMICALS INC.
2	WINSLOW TOWNSHIP	CAMDEN	New Jersey	8009	LIGHTMAN DRUM COMPANY
2	MANTUA TOWNSHIP	GLOUCESTER	New Jersey	8071	LIPARI LANDFILL
2	LODI	BERGEN	New Jersey	7644	LODI MUNICIPAL WELL
2	FREEHOLD TOWNSHIP	MONMOUTH	New Jersey	7728	LONE PINE LANDFILL
2	BERGEN AND HUDSON COUNTIES	BERGEN	New Jersey	7094	LOWER HACKENSACK RIVER
2	ASBURY PARK	MONMOUTH	New Jersey	7755	M&T DELISA LANDFILL
2	GALLOWAY TOWNSHIP	ATLANTIC	New Jersey	8213	MANNHEIM AVENUE DUMP
2	BYRAM	SUSSEX	New Jersey	7874	MANSFIELD TRAIL DUMP
2	CAMDEN	CAMDEN	New Jersey	8104	MARTIN AARON, INC.
2	WOOLWICH TOWNSHIP	GLOUCESTER	New Jersey	8085	MATLACK, INC.
2	THOROFARE	GLOUCESTER	New Jersey	8086	MATTEO & SONS INC.
2	MAYWOOD/ROCHELLE PARK	BERGEN	New Jersey	7607	MAYWOOD CHEMICAL CO.
2	WRIGHTSTOWN	BURLINGTON	New Jersey	8641	MCGUIRE AIR FORCE BASE #1
2	FRANKLIN BOROUGH	SUSSEX	New Jersey	7416	METALTEC/AEROSYSTEMS
2	MIDDLESEX	MIDDLESEX	New Jersey	8846	MIDDLESEX SAMPLING PLANT (USDOE)
2	WALL TOWNSHIP	MONMOUTH	New Jersey	7727	MONITOR DEVICES, INC./INTERCIRCUITS, INC.
2	MONROE TOWNSHIP	MIDDLESEX	New Jersey	8831	MONROE TOWNSHIP LANDFILL
2	MONTCLAIR/WEST ORANGE	ESSEX	New Jersey	7044	MONTCLAIR/WEST ORANGE RADIUM SITE
2	MONTGOMERY TOWNSHIP	SOMERSET	New Jersey	8558	MONTGOMERY TOWNSHIP HOUSING DEVELOPMENT
2	FRANKLIN TOWNSHIP	HUNTERDON	New Jersey	8822	MYERS PROPERTY
2	MILLVILLE	CUMBERLAND	New Jersey	8332	NASCOLITE CORP.
2	LAKEHURST	OCEAN	New Jersey	8733	NAVAL AIR ENGINEERING CENTER
2	COLTS NECK	MONMOUTH	New Jersey	7722	NAVAL WEAPONS STATION EARLE (SITE A)
2	PEDRICKTOWN (OLDMANS TOWN	SALEM	New Jersey	8067	NL INDUSTRIES
2	WEST ORANGE/ORANGE	ESSEX	New Jersey	7051	ORANGE VALLEY REGIONAL GROUND WATER CONTAMINATION
2	BOONTON	MORRIS	New Jersey	7005	PEPE FIELD
2	ROCKAWAY TOWNSHIP	MORRIS	New Jersey	7801	PICATINNY ARSENAL (USARMY)
2	NEWARK	ESSEX	New Jersey	7105	PIERSON'S CREEK
2	PLUMSTEAD TOWNSHIP	OCEAN	New Jersey	8533	PIJAK FARM
2	FRANKLINVILLE	GLOUCESTER	New Jersey	8322	PIONEER METAL FINISHING INC
2	JERSEY CITY	HUDSON	New Jersey	7306	PJP LANDFILL
2	WARREN COUNTY	WARREN	New Jersey	7882	POHATCONG VALLEY GROUND WATER CONTAMINATION
2	GALLOWAY TOWNSHIP	ATLANTIC	New Jersey	8240	POMONA OAKS RESIDENTIAL WELLS
2	PLEASANTVILLE	ATLANTIC	New Jersey	8232	PRICE LANDFILL
2	PENNSAUKEN TOWNSHIP	CAMDEN	New Jersey	8110	PUCHACK WELL FIELD
2	EDGEWATER	BERGEN	New Jersey	7020	QUANTA RESOURCES
2	ROCKAWAY TOWNSHIP	MORRIS	New Jersey	7866	RADIATION TECHNOLOGY, INC.
2	OLD BRIDGE TWP/SAYREVILLE	MIDDLESEX	New Jersey	8879	RARITAN BAY SLAG
2	PLEASANT PLAINS	OCEAN	New Jersey	8753	REICH FARMS
